No 	 Uid 	 Jid  	 offloadtime 	 begintime 	 commutime 	 runtime 	 energy 	 AoI
2084	0	109	109.3	109.33	0.024331417708313156	0.05	0.17965886600830736	0.05
2085	2	539	109.3	109.32	0.014598850624987891	0.3	0.10779531960498441	0.09
2086	2	540	109.4	109.41	0.011928129482900694	0.15	0.10435543077397609	0.05
2087	4	1060	109.4	109.4	0.003976043160966898	0.5	0.03478514359132537	0.13
2088	4	1061	109.5	109.5	0.003084058674756107	0.125	0.03363626757308587	0.04
2089	1	111	109.6	109.62	0.019465134166650522	0.1	0.14372709280664586	0.05
2090	3	265	109.6	109.6	0.009732567083325261	0.4	0.07186354640332293	0.09
2091	4	1062	109.6	109.61	0.0048662835416626304	0.375	0.035931773201661465	0.1
2092	4	1063	109.7	109.7	0.003084058674756107	0.5	0.03363626757308587	0.13
2093	4	1064	109.8	109.8	0.003084058674756107	0.375	0.03363626757308587	0.1
2094	3	266	109.9	109.9	0.007952086321933796	0.3	0.06957028718265074	0.07
2095	4	1065	109.9	109.91	0.003976043160966898	0.25	0.03478514359132537	0.08
2096	2	541	110.0	110.01	0.011928129482900694	0.225	0.10435543077397609	0.07
2097	4	1066	110.0	110.0	0.003976043160966898	0.375	0.03478514359132537	0.1
2098	3	267	110.1	110.1	0.009732567083325261	0.1	0.07186354640332293	0.03
2099	0	110	110.1	110.12	0.024331417708313156	0.025	0.17965886600830736	0.03
2100	1	112	110.1	110.11	0.019465134166650522	0.15	0.14372709280664586	0.05
2101	2	542	110.2	110.21	0.011928129482900694	0.225	0.10435543077397609	0.07
